Título Original,Duración,Género,Sinopsis
Omoide no Mânî,103,"Animación, Drama, Fantástico","Anna es una chica solitaria, sin amigos, que vive con sus padres adoptivos. Un día es enviada con el señor y la señora Pegg. Allí, donde se extienden las dunas de arena, conoce a una chica llamada Marnie, quien pronto se convertirá en su mejor amiga. Habiendo aprendido muchas cosas sobre la amistad, Anna se dará cuenta de que Marnie no es quien parece... (FILMAFFINITY)"
El Club (The Club),98,Drama,"Cuatro sacerdotes conviven en una retirada casa de un pueblo costero, bajo la mirada de Mónica, una monja cuidadora. Los curas están ahí para purgar sus pecados y hacer penitencia. La rutina y tranquilidad del lugar se rompe cuando llega un atormentado quinto sacerdote, y los huéspedes reviven el pasado que creían haber dejado atrás. (FILMAFFINITY)"
Wonder,113,"Drama, Comedia","Un niño de 10 años (Jacob Tremblay, conocido por 'La habitación') nacido con una deformidad facial que le ha obligado a ser operado 27 veces de cirugía, se esfuerza por encajar en su nuevo colegio. (FILMAFFINITY)"
Tori et Lokita,89,Drama,"En la Bélgica actual, un niño y una chica adolescente que llegaron solos de África enfrentan su invencible amistad contra las difíciles condiciones de su exilio. (FILMAFFINITY)"
Ahlat Agaci,188,Drama,"Un aspirante a escritor regresa a su pueblo natal en Turquía, pero se siente abrumado por las deudas y problemas que tiene su padre."
L'événement,100,Drama,"Francia, 1963. Anne es una joven estudiante brillante con un futuro prometedor por delante. Pero cuando se queda embarazada, ve cómo desaparece la oportunidad de terminar sus estudios y escapar de las limitaciones de su entorno social. Ante la proximidad de sus exámenes finales y conforme va creciendo su vientre, Anne decide actuar, aunque tenga que enfrentarse a la vergüenza y al dolor, aunque tenga que arriesgarse a ir a la cárcel para hacerlo... (FILMAFFINITY)"
J'ai perdu mon corps,81,"Animación, Fantástico, Drama, Romance","Una mano cortada se escapa de un laboratorio con un objetivo crucial: volver a encontrar su cuerpo. A medida que avanza por los escollos de París, recuerda su vida con el joven al que una vez estuvo apegado... hasta que conocieron a Gabrielle."
Sound of Metal,120,Drama,Narra la historia de un joven batería de una banda de música que comienza a perder la audición. (FILMAFFINITY)
The Trial of the Chicago 7,129,Drama,"En 1969 se celebró uno de los juicios más populares de la Historia de Estados Unidos, en el que siete individuos detenidos durante una manifestación en contra de la guerra de Vietnam fueron juzgados tras ser acusados de conspirar en contra de la seguridad nacional. Su arresto se produjo a consecuencia de unos disturbios contra la policía y el juicio, impulsado por el nuevo fiscal general, fue claramente político, dando lugar a una serie de conflictos sociales -manifestaciones, movimientos ciudadanos, impulso de los derechos civiles- que pasarían a la posteridad en una época de grandes cambios en los Estados Unidos. (FILMAFFINITY)"
Coherence,89,"Intriga, Thriller, Ciencia ficción","En Finlandia, en 1923, el paso de un cometa hizo que los habitantes de un pueblo quedaran completamente desorientados; incluso una mujer llegó a llamar a la policía denunciando que el hombre que estaba en su casa no era su marido. Décadas más tarde, un grupo de amigos recuerda este caso mientras cenan, brindan y se preparan para ver pasar un cometa... (FILMAFFINITY)"
Da cven vicekvet (And Then We Danced),113,Drama,"Merab lleva ensayando desde que era muy joven en la Compañía Nacional de Danza de Georgia con su pareja de baile, Mary. De repente, su vida da un vuelco cuando aparece el despreocupado y carismático Irakli y se convierte en su rival más poderoso, pero también en su mayor objeto de deseo. En una atmósfera conservadora, Merab se enfrenta a la necesidad de liberarse y arriesgarlo todo en el empeño."
Gui lai,109,Drama,"El preso político Lu Yanshi es liberado cuando termina la Revolución cultural. Cuando regresa a casa, descubre que su esposa sufre de amnesia; no lo reconoce y continúa esperando el retorno de su esposo sin darse cuenta de que está a su lado. (FILMAFFINITY)"
Fúsi (Virgin Mountain),94,"Drama, Romance","A sus 43 años, Fúsi es un inadaptado, con sobrepeso, que nunca tuvo novia y cuyo único interés son las batallas de la Segunda Guerra Mundial, que reproduce en miniatura en el apartamento en el que vive con su madre. Un día recibe un cupón para acudir a una escuela de baile, donde conoce a Sjöfn, una mujer solitaria, como él, y con profundas heridas psicológicas. (FILMAFFINITY)"
Bakemono no Ko,119,"Animación, Fantástico","Kyuta es un niño solitario que vive en Tokio, y Kumatetsu es una criatura sobrenatural aislada en un mundo fantástico. Un día, el niño cruza la frontera al otro mundo y entabla amistad con Kumatetsu, que se convierte en su amigo y guía espiritual. Este encuentro les llevará a vivir multitud de aventuras. (FILMAFFINITY)"
Mantícora,115,Drama,"El veinteañero Julián es un exitoso diseñador de videojuegos que vive atormentado por un oscuro secreto. Cuando Diana aparece en su vida, Julián sentirá cercana la oportunidad de ser feliz."
Youth - La giovinezza,118,Drama,"Fred Ballinger (Michael Caine), un gran director de orquesta, pasa unas vacaciones en un hotel de los Alpes con su hija Lena y su amigo Mick, un director de cine al que le cuesta acabar su última película. Fred hace tiempo que ha renunciado a su carrera musical, pero hay alguien que quiere que vuelva a trabajar; desde Londres llega un emisario de la reina Isabel, que debe convencerlo para dirigir un concierto en el Palacio de Buckingham, con motivo del cumpleaños del príncipe Felipe. (FILMAFFINITY)"
Toy Story 4,100,"Animación, Fantástico, Aventuras, Comedia, Infantil","Woody siempre ha tenido claro cuál es su labor en el mundo y su prioridad: cuidar a su dueño, ya sea Andy o Bonnie. Pero cuando Bonnie añade a Forky, un nuevo juguete de fabricación propia, a su habitación, arranca una nueva aventura que servirá para que los viejos y nuevos amigos le enseñen a Woody lo grande que puede ser el mundo para un juguete. (FILMAFFINITY)"
The Theory of Everything,123,Drama,"Narra la relación entre el célebre astrofísico Stephen Hawking y su primera mujer, Jane, desde que ambos se conocieron siendo estudiantes en la Universidad de Cambridge a principios de los 60 y a lo largo de 25 años, especialmente en su lucha juntos contra la enfermedad degenerativa que postró al famoso científico en una silla de ruedas. (FILMAFFINITY)"
Once Upon a Time in... Hollywood,165,"Thriller, Drama, Comedia","Hollywood, años 60. La estrella de un western televisivo, Rick Dalton (DiCaprio), intenta amoldarse a los cambios del medio al mismo tiempo que su doble (Pitt). La vida de Dalton está ligada completamente a Hollywood, y es vecino de la joven y prometedora actriz y modelo Sharon Tate (Robbie) que acaba de casarse con el prestigioso director Roman Polanski. (FILMAFFINITY)"
Dunkirk,107,"Bélico, Drama","Año 1940, en plena 2ª Guerra Mundial. En las playas de Dunkerque, cientos de miles de soldados de las tropas británicas y francesas se encuentran rodeados por el avance del ejército alemán, que ha invadido Francia. Atrapados en la playa, con el mar cortándoles el paso, las tropas se enfrentan a una situación angustiosa que empeora a medida que el enemigo se acerca. (FILMAFFINITY)"
Illusions perdues,149,"Drama, Comedia","Lucien es un joven poeta desconocido en la Francia del siglo XIX. Tiene grandes esperanzas y quiere forjar su destino. Deja la imprenta familiar de su provincia natal para probar suerte en París del brazo de su mecenas. Rápidamente abandonado a su suerte en esta fabulosa ciudad, el joven descubrirá lo que ocurre entre bastidores en este mundo consagrado a la ley del beneficio y el fingimiento. Una adaptación de la novela de Honoré de Balzac ""Les illusions perdues"". (FILMAFFINITY)"
Metro Manila,114,"Thriller, Drama","Buscando un futuro mejor, Óscar Ramírez y su familia dejan los campos de arroz del norte de Filipinas y viajan a la asfixiante y peligrosa ciudad de Manila. Tras una llegada accidentada, Óscar se considera afortunado cuando le ofrecen un empleo estable en una compañía de camiones blindados, y pronto hace amistad con su compañero Ong. (FILMAFFINITY)"
Maudie,115,Drama,"Maud Dowley (Sally Hawkins) es una mujer alegre de Nueva Escocia que sueña con independizarse de su protectora familia. Everett Lewis (Ethan Hawke) es un huraño pescador local que busca asistenta. Tras ver su anuncio, Maudie no tarda en mudarse a casa de Everett para encargarse de las tareas del hogar. Pero lo que comienza siendo una difícil convivencia entre dos polos opuestos poco a poco irá transformándose en una historia de amor... Basada en hechos reales, la película cuenta la historia de la pintora canadiense Maud Lewis, de su relación con el que se convirtió en su inseparable compañero de vida, Everett Lewis, y de cómo sus sencillas pinturas llegaron a ser vistas y reconocidas por todos los rincones del país convirtiéndola en una de las artistas folk más representativas de Canadá. (FILMAFFINITY)"
Top Gun: Maverick,131,"Acción, Drama","Después de más de treinta años de servicio como uno de los mejores aviadores de la Armada, Pete ""Mavericks"" Mitchel (Tom Cruise) se encuentra donde siempre quiso estar: superando los límites como un valiente piloto de pruebas y esquivando el ascenso de rango, que no le dejaría volar emplazándolo en tierra. Cuando es destinado a la academia de Top Gun con el objetivo de entrenar a los pilotos de élite para realizar una peligrosa misión en territorio enemigo, Maverick se encuentra allí con el joven teniente Bradley Bradshaw (Miles Teller), el hijo de su difunto amigo ""Goose"". (FILMAFFINITY)"
Blade Runner 2049,163,Ciencia ficción,"Treinta años después de los eventos del primer film, un nuevo blade runner, K (Ryan Gosling) descubre un secreto profundamente oculto que podría acabar con el caos que impera en la sociedad. El descubrimiento de K le lleva a iniciar la búsqueda de Rick Deckard (Harrison Ford), un blade runner al que se le perdió la pista hace 30 años. (FILMAFFINITY)"
Birdman or (The Unexpected Virtue of Ignorance),118,"Comedia, Drama","Después de hacerse famoso interpretando en el cine a un célebre superhéroe, la estrella Riggan Thomson (Michael Keaton) trata de darle un nuevo rumbo a su vida, luchando contra su ego, recuperando a su familia y preparándose para el estreno de una obra teatral en Broadway que le reafirme en su prestigio profesional como actor. (FILMAFFINITY)"
Buñuel en el laberinto de las tortugas,80,Animación,"París, 1930. Salvador Dalí y Luis Buñuel son las principales figuras del movimiento surrealista, pero Buñuel ve cómo se le cierran todas las puertas después del escandaloso estreno de ""La edad de oro"", su primera película. Sin embargo, su buen amigo, el escultor Ramón Acín, compra un billete de lotería con la loca promesa de que, si gana, pagará el documental que su amigo quiere rodar sobre Las Hurdes, una de las regiones más pobres y olvidadas de España... Película sobre el rodaje en la región extremeña de Las Hurdes, a cargo del maestro Luis Buñuel, de su película ""Las Hurdes, tierra sin pan"", en 1933. Adapta el cómic homónimo de Fermín Solís."
Hors normes,108,Drama,"Bruno y Malik son dos amigos que durante veinte años han vivido en un mundo diferente: el de los niños y adolescentes autistas. A cargo de dos organizaciones sin ánimo de lucro, forman a jóvenes para que sean cuidadores de casos extremos. De esta forma crean una asociación excepcional, fuera de los entornos tradicionales, para unas personas extraordinarias."
The Last Duel,152,"Drama, Intriga","Francia, 1386. Narra el enfrentamiento entre el caballero Jean de Carrouges (Matt Damon) y el escudero Jacques LeGris (Adam Driver), al acusar el primero al segundo de abusar de su esposa, Marguerite de Carrouges (Jodie Comer). El Rey Carlos VI decide que la mejor forma de solucionar el conflicto es un duelo a muerte. El que gane será el poseedor de la verdad y, en caso de que venza LeGris, la esposa del caballero será quemada como castigo por falsas acusaciones."
Spider-Man: No Way Home,148,"Fantástico, Acción, Ciencia ficción","Por primera vez en la historia cinematográfica de Spider-Man, nuestro héroe, vecino y amigo es desenmascarado, y por tanto, ya no es capaz de separar su vida normal de los enormes riesgos que conlleva ser un superhéroe. Cuando pide ayuda al Doctor Strange, los riesgos pasan a ser aún más peligrosos, obligándole a descubrir lo que realmente significa ser él. Secuela de 'Spider-Man: Far From Home'."
The Martian,142,"Ciencia ficción, Drama","Durante una misión tripulada a Marte, el astronauta Mark Watney es dado por muerto tras una terrible tormenta y abandonado por la tripulación, que pone rumbo de vuelta a la Tierra. Pero Watney ha sobrevivido y se encuentra atrapado y solo en el hostil planeta rojo. Con suministros escasos, deberá recurrir a su ingenio y a su instinto de supervivencia para encontrar la manera de comunicar a la Tierra que sigue vivo. (FILMAFFINITY)"
Los lobos,95,Drama,"Max y Leo, de 8 y 5 años, viajan de México a Albuquerque, EEUU, con su madre Lucía en busca de una vida mejor. Mientras esperan que su mamá regrese del trabajo, los niños observan a través de la ventana de su departamento el inseguro barrio en el que está enclavado el motel donde viven, habitado principalmente por hispanos y asiáticos. Se dedican a escuchar los cuentos, reglas y lecciones de inglés que la madre les deja en una vieja grabadora de cassette, y construyen un universo imaginario con sus dibujos, mientras anhelan que su mamá cumpla su promesa de ir juntos a Disneylandia. (FILMAFFINITY)"
The Raid 2: Berandal,150,"Acción, Thriller","Poco después de finalizar la sangrienta redada, el inspector Rama se ve obligado a infiltrarse en las filas del sindicato del crimen de Yakarta con el fin de proteger a su familia y descubrir la corrupción en el seno de su propia fuerza policial."
Straight Outta Compton,147,Drama,"A mediados de los 80, el barrio californiano de Compton era uno de los lugares más peligrosos de Estados Unidos. Cuando un grupo de jóvenes convirtieron sus experiencias vitales en una música brutalmente sincera que se rebelaba contra la autoridad, le dieron voz a una generación silenciada. Siguiendo la meteórica trayectoria de N.W.A. (formado por Arabian Prince, DJ Yella, Dr. Dre, Eazy-E, Ice Cube y MC Ren), la película narra la historia de cómo estos chicos revolucionaron para siempre la música y la cultura popular al contar al mundo cómo era realmente la vida en el ghetto. (FILMAFFINITY)"
Triangle of Sadness,147,"Comedia, Drama","Tras la Semana de la moda, Carl y Yaya, pareja de modelos e influencers, son invitados a un yate en un crucero de lujo. Mientras que la tripulación brinda todas las atenciones necesarias a los ricos invitados, el capitán se niega a salir de su cabina, a pesar de la llegada inminente de la célebre cena de gala. Los eventos toman un giro inesperado y el equilibrio de poder se invierte cuando se levanta una tormenta que pone en peligro el confort de los pasajeros."
Roma,135,Drama,"Cleo (Yalitza Aparicio) es la joven sirvienta de una familia que vive en la Colonia Roma, barrio de clase media-alta de Ciudad de México. En esta carta de amor a las mujeres que lo criaron, Cuarón se inspira en su propia infancia para pintar un retrato realista y emotivo de los conflictos domésticos y las jerarquías sociales durante la agitación política de la década de los 70. (FILMAFFINITY)"
Big Hero 6,108,"Animación, Fantástico, Ciencia ficción, Comedia, Acción","En la metrópolis de San Fransokyo (cruce de San Francisco y Tokio), vive Hiro Hamada, quien aprende a sacar provecho de su capacidad gracias a su brillante hermano Tadashi y sus también brillantes amigos: la buscadora de adrenalina GoGo Tamago, el meticuloso de la limpieza Wasabi-No-Ginger, la genia de la química Honey Lemon y el fanático de los cómics Fred. Cuando tras un devastador giro de los acontecimientos, se ven envueltos en una peligrosa conspiración que tiene lugar en las calles de San Fransokyo, Hiro recurre a su amigo más íntimo: un robot llamado Baymax, y transforma al grupo en una banda de héroes de última tecnología decididos a resolver el misterio. (FILMAFFINITY)"
Holy Spider,117,"Thriller, Drama","Irán, 2001. Una periodista de Teherán se sumerge en los barrios con peor reputación de la ciudad santa de Mashhad para investigar una serie de feminicidios. Pronto se dará cuenta de que las autoridades locales no tienen ninguna prisa por resolver el asunto. Los crímenes son obra de un solo hombre, que asegura purificar la ciudad de sus pecados y que ataca a prostitutas por la noche. (FILMAFFINITY)"
Retfærdighedens ryttere,116,"Thriller, Comedia, Drama","El militar Markus debe regresar a casa con su hija adolescente, Mathilde, cuando su esposa muere en un trágico accidente de tren. Todo parece ser a causa de la mala suerte, hasta que Otto, experto en matemáticas y también pasajero de tren siniestrado, aparece con sus dos excéntricos colegas, Lennart y Emmenthaler. Otto está convencido de que alguien está detrás de todo esto. (FILMAFFINITY)"
Miss Sloane,132,Drama,"Elizabeth Sloane (Jessica Chastain) es una implacable y ambiciosa lobbista que intenta que fructifique una legislación a favor del control de armas en Washington DC. Para ello intentará usar todos los recursos a su alcance. En las altas esferas del mundo político y empresarial Sloane tiene una reputación formidable. Conocida por su astucia y sus éxitos sin parangón, siempre ha hecho lo que fuera necesario para ganar. Pero cuando se enfrenta al oponente más poderoso de su carrera, se da cuenta de que la victoria puede tener un precio demasiado alto. (FILMAFFINITY)"
Trumbo,124,Drama,"En los años 40, Dalton Trumbo, el guionista mejor pagado de Hollywood y afiliado al partido comunista, disfruta de sus éxitos. Pero entonces comienza la caza de brujas: la Comisión de Actividades Antiamericanas inicia una campaña anticomunista. Trumbo, uno de los llamados ""10 de Hollywood"", entra en la lista negra por sus ideas políticas y le prohiben trabajar... Biopic del famoso guionista Dalton Trumbo (“Espartaco” o “Vacaciones en Roma”) que tuvo que escribir bajo pseudónimo tras ser acusado de comunista. (FILMAFFINITY)"
"I, Tonya",121,Drama,"Década de 1990. Tonya Harding es una prometedora patinadora sobre hielo estadounidense, una joven de clase obrera, siempre bajo la sombra de su implacable e insensible madre, pero con un talento innato capaz de hacer un triple axel en competición. En 1994, su principal rival para los Juegos Olímpicos de Invierno es su compatriota Nancy Kerrigan, a la que, poco antes de los Juegos, un matón a sueldo la golpea la rodilla con una barra de hierro. Las sospechas recayeron en el entorno de Tonya, lo que supuso el comienzo del fin de su carrera. (FILMAFFINITY)"
Vortex,142,Drama,La historia sigue a una pareja de ancianos. Él tiene problemas de corazón y ella padece Alzheimer. Una mirada cercana a la realidad de este matrimonio que trata de lidiar con sus enfermedades y el paso del tiempo.
God's Own Country,104,"Drama, Romance","Johnny Saxby es un joven granjero de Yorkshire que intenta evadirse de sus problemas con el alcohol y el sexo. Cuando llega al pueblo un inmigrante rumano para trabajar en la cría de ovejas, su visión de la vida cambiará de forma radical. (FILMAFFINITY)"
Suburra,134,Thriller,"Una Roma repleta de políticos, malhechores, figuras de las instituciones, eclesiásticos y mafiosos que, en lugar de verse perjudicados por los escándalos de corrupción, aumentan su poder de manera exponencial: “una gangster movie que refleja el final de una era, de un mundo político y un mundo criminal que se está convirtiendo en otra cosa, aún no sabemos bien qué, y que, por tanto, se agita dejando a su paso restos de sangre a la espera de una especie de nuevo orden”, en palabras del director. Un gran proyecto inmobiliario que inundará de cemento la periferia de la ciudad sirve de trasfondo para relatar la historia de un político y el hijo de un constructor sin escrúpulos. (FILMAFFINITY)"
Guillermo del Toro's Pinocchio,117,"Animación, Fantástico, Musical, Drama","Versión musical en animación stop motion del famoso cuento de 'Pinocho', ambientada en la Italia fascista, durante la década de 1930. Guillermo del Toro y Mark Gustafson dirigen esta película, que en la versión original cuenta con un reparto estelar de voces: Ewan McGregor (Pepito Grillo), David Bradley (Geppetto) y el debutante Gregory Mann (Pinocho). También participan Finn Wolfhard, Cate Blanchett, John Turturro, Ron Perlman, Tim Blake Nelson, Burn Gorman, Christoph Waltz y Tilda Swinton. (FILMAFFINITY)"
The Banshees of Inisherin,114,Drama,"Ambientada en una isla remota frente a la costa oeste de Irlanda en 1923, narra la historia de dos amigos de toda la vida, Pádraic y Colm, quienes se encuentran en un callejón sin salida cuando Colm pone fin a su amistad de un modo abrupto. Un Pádraic atónito, con la única comprensión de su hermana Siobhán y del simple Dominic, se esfuerza por reconstruir la relación, negándose a aceptar las negativas de su amigo de siempre. Cuando Colm le plantea a Pádraic un ultimátum desesperado, los acontecimientos se precipitan y provocan consecuencias traumáticas. (FILMAFFINITY)"
Babylon,182,"Drama, Comedia","Ambientada en Los Ángeles durante los años 20, cuenta una historia de ambición y excesos desmesurados que recorre la ascensión y caída de múltiples personajes durante una época de desenfrenada decadencia y depravación en los albores de Hollywood."
Un monde,72,Drama,"Nora entra en primaria y poco después descubre el acoso que sufre su hermano mayor, Abel. Nora se debate entre la necesidad de integrarse y su hermano, que le pide que guarde silencio. (FILMAFFINITY)"
Tokyo kazoku (Tokyo Family),146,Drama,"El viejo Shukichi Hirayama (Hashizume) y su esposa Tomiko (Yoshiyuki) viven en una pequeña isla. Aunque no les gusta la vida urbana, van a Tokio a pasar unos días con sus hijos. El mayor (Masahiko Nishimura) dirige un hospital; la mediana (Tomoko Nakajima) es dueña de un salón de belleza, y el pequeño (Satoshi Tsumabuki) trabaja en el teatro. Remake de ""Cuentos de Tokio"" de Yasujiro Ozu. (FILMAFFINITY)"
Nelyubov,128,Drama,"Una pareja que atraviesa un divorcio debe aunar fuerzas para encontrar a su hijo, desaparecido tras una de sus peleas. (FILMAFFINITY)"
About Time,123,"Romance, Comedia, Fantástico","Tim Lake (Domhnall Gleeson) es un joven de 21 años que descubre que puede viajar en el tiempo. Su padre (Bill Nighy) le cuenta que todos los hombres de la familia han tenido desde siempre ese don, el de regresar en el tiempo a un momento determinado, una y otra vez, hasta conseguir hacer ""lo correcto"". Así pues, Tim decide volver al pasado para intentar conquistar a Mary (Rachel McAdams), la chica de sus sueños. (FILMAFFINITY)"
Captain Phillips,135,"Drama, Thriller","Año 2009, en el cuerno de África. En aguas internacionales a 145 millas de la costa de Somalia, el buque carguero “Maersk Alabama”, al mando del capitán de la marina mercante estadounidense Richard Phillips (Tom Hanks), fue abordado y retenido por piratas somalíes, siendo el primer barco norteamericano secuestrado en los últimos doscientos años. (FILMAFFINITY)"
Pájaros de verano,125,Drama,"Basada en una historia real que explica el origen del narcotráfico en Colombia, la película se sitúa en los años 70 cuando la juventud norteamericana abraza la cultura hippie y con ella a la marihuana. Esto provoca que los agricultores de la zona se conviertan en “empresarios” a un ritmo veloz. En el desierto de Guajira, una familia indígena Wayuu se ve obligada a asumir un papel de liderazgo en esta nueva empresa. La riqueza y el poder se combinan con una guerra fratricida que pondrá en grave peligro a su familia, a sus vidas y a sus tradiciones ancestrales."
Umimachi Diary (Kamakura Diary),128,Drama,"Sachi, Yoshino y Chika son tres hermanas que viven en Kamakura (Japón), en la casa de su abuela. Un día reciben la noticia de la muerte de su padre, que las abandonó cuando eran pequeñas. En el funeral conocen a la hija que su padre tuvo trece años antes y pronto las cuatro hermanas deciden vivir juntas. (FILMAFFINITY)"
Togo,113,"Aventuras, Drama","Cuenta la historia de Togo, un perro de trineos que ganó la carrera más importante de esta disciplina en 1925 pese a haber sido considerado incapaz de terminarla siquiera debido a su pequeño tamaño. (FILMAFFINITY)"
Modelo 77,125,"Drama, Thriller","Cárcel Modelo. Barcelona, 1977. Manuel (Miguel Herrán), un joven contable, encarcelado y pendiente de juicio por cometer un desfalco, se enfrenta a una posible pena de entre 10 y 20 años, un castigo desproporcionado para la cuantía de su delito. Pronto, junto a su compañero de celda, Pino (Javier Gutiérrez), se une a un grupo de presos comunes que se está organizando para exigir una amnistía. Se inicia una guerra por la libertad que hará tambalearse al sistema penitenciario español. Si las cosas están cambiando fuera, dentro también tendrán que hacerlo."
Carol,118,"Romance, Drama","Nueva York, años 50. Therese Belivet (Rooney Mara), una joven dependienta de una tienda de Manhattan que sueña con una vida mejor, conoce un día a Carol Aird (Cate Blanchett), una mujer elegante y sofisticada que se encuentra atrapada en un matrimonio infeliz. Entre ellas surge una atracción inmediata, cada vez más intensa y profunda, que cambiará sus vidas para siempre. (FILMAFFINITY)"
Papicha,108,Drama,"Argelia, años 90. Nedjma, de 18 años, estudiante alojada en la ciudad universitaria de Argel, sueña con convertirse en estilista y se niega a que los trágicos sucesos de la guerra civil argelina le impidan llevar una vida normal y salir por la noche con su amiga Wassila. Al caer la noche, se escurre entre las redes del alambrado de la ciudad con sus mejores amigas para acudir a la discoteca donde vende sus creaciones a las ‘papichas’, las jóvenes argelinas. La situación política y social del país no deja de empeorar. Nedjma se niega a aceptar las prohibiciones de los radicales y decide luchar por su libertad e independencia organizando un desfile de moda. (FILMAFFINITY)"
"Psiconautas, los niños olvidados",76,"Animación, Fantástico, Drama","Birdboy y Dinki son dos amigos que luchan por no enfrentarse a la realidad en la que viven. Como exploradores que son, albergan la esperanza de encontrar un lugar mejor en el que vivir, pues la isla donde viven ya no es lo que era debido a un accidente industrial, y el aire que se respira es asfixiante... Adaptación cinematográfica animada de la novela gráfica homónima de Alberto Vázquez. (FILMAFFINITY)"
Little Women,135,"Drama, Romance","Amy, Jo, Beth y Meg son cuatro hermanas en plena adolescencia, que viven con su madre en una Norteamérica que sufre lejanamente su Guerra Civil. Con sus variadas vocaciones artísticas y anhelos juveniles, descubrirán el amor y la importancia de los lazos familiares."
Wind River,110,"Thriller, Intriga",Una joven agente del FBI se alía con un veterano rastreador local para investigar el asesinato de una joven ocurrido en una reserva de nativos americanos... (FILMAFFINITY)
Truman,108,"Drama, Comedia","Julián y Tomás, dos amigos de la infancia que han llegado a la madurez, se reúnen después de muchos años y pasan juntos unos días inolvidables, sobre todo porque éste será su último encuentro, su despedida. (FILMAFFINITY)"
Vi är bäst!,105,"Drama, Comedia",Tres chicas de entre 12 y 13 años de edad deciden formar un grupo de punk en el Estocolmo de 1982. (FILMAFFINITY)
Help,96,Drama,"Sarah parece haber encontrado su vocación trabajando en un hogar de ancianos de Liverpool, donde tiene un talento especial para conectarse con los residentes. Luego, en marzo de 2020, llega la pandemia de Coronavirus."
"Gett, the Trial of Viviane Amsalem",115,Drama,"Viviane Amsalem, separada desde hace años de Elisha, su marido, quiere conseguir el divorcio para no convertirse en una marginada social. En Israel no existe aún el matrimonio civil; según las leyes religiosas,  sólo el marido puede conceder el divorcio. Sin embargo, Elisha, se niega a hacerlo. Viviane tendrá que luchar ante el Tribunal Rabínico para lograr lo que ella considera un derecho. Así se verá inmersa en un proceso de varios años en el que la tragedia competirá con lo absurdo y absolutamente todo se pondrá en tela de juicio. (FILMAFFINITY)"
Kimi no suizô wo tabetai,108,"Animación, Drama, Romance","Un día, un solitario estudiante de secundaria encuentra un libro de bolsillo en el hospital. Su título es ""Conviviendo con la Muerte"". Resulta ser un diario de una compañera de clase, Sakura Yamauchi, en el cual escribe que, debido a su enfermedad pancreática, le quedan sólo unos cuantos meses de vida. Esto hace que surja una amistad entre ellos muy especial, desvelando la difícil circunstancia por la que atraviesa Sakura no sólo en relación a su enfermedad, sino también a otros factores que convierten su día a día en una cruel pesadilla. (FILMAFFINITY)"
Mass,110,Drama,"Años después de que el hijo de Richard (Reed Birney) y Linda (Ann Dowd) causase una enorme tragedia, Jay (Jason Isaacs), y Gail (Martha Plimpton) están por fin dispuestos a hablar en un intento por tratar de seguir adelante con sus vidas. (FILMAFFINITY)"
RRR,185,"Acción, Drama","India, años 20 del siglo XX. Tras el secuestro de una niña perteneciente a una tribu marginada, Bheem viajará a Delhi para su rescate. En su travesía se cruzará con Rama Raju, un oficial del Raj que tiene por misión perseguirlo para meterlo a la cárcel. (FILMAFFINITY)"
The Batman,175,"Thriller, Intriga, Acción","Después de dos años acechando por las calles de la ciudad como Batman (Robert Pattinson), e infundiendo miedo en las mentes perversas de los criminales, Bruce Wayne está sumido en las profundidades de las sombras de Gotham City. Este vigilante solitario cuenta con pocos aliados de confianza y eso le ha llevado a convertirse en la única encarnación de la venganza entre sus conciudadanos. Cuando un asesino apunta a la élite de Gotham con una serie de maquinaciones sádicas, un rastro de pistas crípticas lleva a Batman a realizar una investigación en el inframundo. (FILMAFFINITY)"
Tarde para la ira,89,Thriller,"Madrid, agosto de 2007. Curro entra en prisión tras participar en el atraco a una joyería. Era el conductor, y el único detenido por el robo. Ocho años después sale de la cárcel con ganas de emprender una nueva vida junto a su novia Ana y su hijo, pero se encontrará con una situación inesperada y a un desconocido, José."
The Rider,104,"Drama, Western","Brady, joven estrella del rodeo y talentoso entrenador de caballos, sufre un accidente que le incapacita para volver a montar. Cuando vuelve a casa se da cuenta de que lo único que sabe y quiere hacer es montar a caballo y participar en rodeos, lo que le frustra vitalmente. En un intento por retomar el control de su vida, Brady emprende un viaje en busca de una nueva identidad y del significado de lo que es ser un hombre en el corazón de América. (FILMAFFINITY)"
Perfetti sconosciuti,97,"Comedia, Drama","Siete amigos que lo son desde hace años (tres parejas y un soltero) se reencuentran en una cena en la que deciden jugar a un juego extraño y arriesgado: ponen sus smartphone sobre la mesa y al grito de “no tenemos nada que ocultar”, deciden compartir los mensajes y las llamadas que cada uno de ellos reciba durante la noche, en una especie de ruleta rusa a golpe de SMS y tonos de llamada."
Boiling Point,92,"Drama, Thriller","En la noche más concurrida del año en uno de los restaurantes de moda en Londres, el carismático jefe de cocina Andy Jones trata de no derrumbarse ante una crisis personal y profesional que podría destruir todo aquello por lo que ha trabajado. La inesperada visita de un inspector de sanidad y seguridad alimentaria aumenta la presión sobre el personal mientras no dejan de llegar más y más clientes. Andy abronca y engatusa a su equipo indistintamente, haciendo todo lo posible para disipar las tensiones entre la gerencia y los trabajadores, mientras atiende a las ridículas demandas de sus clientes. (FILMAFFINITY)"
