Título,Título Original,Año,Duración,Género,País,Puntuación Media,Número de Puntuaciones,Director,Reparto,Sinopsis,Enlace
"Yo, Tonya","I, Tonya",2017,121,Drama,Estados Unidos,"7,0",23.873,Craig Gillespie,"Margot Robbie, Sebastian Stan, Allison Janney, Caitlin Carver, Julianne Nicholson, Bojana Novakovic, Mckenna Grace, Paul Walter Hauser","Década de 1990. Tonya Harding es una prometedora patinadora sobre hielo estadounidense, una joven de clase obrera, siempre bajo la sombra de su implacable e insensible madre, pero con un talento innato capaz de hacer un triple axel en competición. En 1994, su principal rival para los Juegos Olímpicos de Invierno es su compatriota Nancy Kerrigan, a la que, poco antes de los Juegos, un matón a sueldo la golpea la rodilla con una barra de hierro. Las sospechas recayeron en el entorno de Tonya, lo que supuso el comienzo del fin de su carrera. (FILMAFFINITY)",https://www.filmaffinity.com/es/film279581.html
Vortex,Vortex,2021,142,Drama,Francia,"7,0",2.044,Gaspar Noé,"Dario Argento, Françoise Lebrun, Alex Lutz, Kylian Dheret, Kamel Benchemekh, Joël Clabault",La historia sigue a una pareja de ancianos. Él tiene problemas de corazón y ella padece Alzheimer. Una mirada cercana a la realidad de este matrimonio que trata de lidiar con sus enfermedades y el paso del tiempo.,https://www.filmaffinity.com/es/film196904.html
Tierra de Dios,God's Own Country,2017,104,"Drama, Romance",Reino Unido,"7,0",4.751,Francis Lee,"Josh O'Connor, Alec Secareanu, Gemma Jones, Ian Hart, Harry Lister Smith, Melanie Kilburn, Liam Thomas, Patsy Ferran","Johnny Saxby es un joven granjero de Yorkshire que intenta evadirse de sus problemas con el alcohol y el sexo. Cuando llega al pueblo un inmigrante rumano para trabajar en la cría de ovejas, su visión de la vida cambiará de forma radical. (FILMAFFINITY)",https://www.filmaffinity.com/es/film614687.html
Suburra,Suburra,2015,134,Thriller,Italia,"7,0",5.689,Stefano Sollima,"Pierfrancesco Favino, Elio Germano, Claudio Amendola, Alessandro Borghi, Greta Scarano, Giulia Gorietti, Antonello Fassari, Jean-Hugues Anglade","Una Roma repleta de políticos, malhechores, figuras de las instituciones, eclesiásticos y mafiosos que, en lugar de verse perjudicados por los escándalos de corrupción, aumentan su poder de manera exponencial: “una gangster movie que refleja el final de una era, de un mundo político y un mundo criminal que se está convirtiendo en otra cosa, aún no sabemos bien qué, y que, por tanto, se agita dejando a su paso restos de sangre a la espera de una especie de nuevo orden”, en palabras del director. Un gran proyecto inmobiliario que inundará de cemento la periferia de la ciudad sirve de trasfondo para relatar la historia de un político y el hijo de un constructor sin escrúpulos. (FILMAFFINITY)",https://www.filmaffinity.com/es/film628058.html
Pinocho de Guillermo del Toro,Guillermo del Toro's Pinocchio,2022,117,"Animación, Fantástico, Musical, Drama",Estados Unidos,"7,0",11.130,"Guillermo del Toro, Mark Gustafson","Ewan McGregor, David Bradley, Gregory Mann, Finn Wolfhard, Cate Blanchett, John Turturro, Ron Perlman","Versión musical en animación stop motion del famoso cuento de 'Pinocho', ambientada en la Italia fascista, durante la década de 1930. Guillermo del Toro y Mark Gustafson dirigen esta película, que en la versión original cuenta con un reparto estelar de voces: Ewan McGregor (Pepito Grillo), David Bradley (Geppetto) y el debutante Gregory Mann (Pinocho). También participan Finn Wolfhard, Cate Blanchett, John Turturro, Ron Perlman, Tim Blake Nelson, Burn Gorman, Christoph Waltz y Tilda Swinton. (FILMAFFINITY)",https://www.filmaffinity.com/es/film563328.html
Almas en pena de Inisherin,The Banshees of Inisherin,2022,114,Drama,Reino Unido,"7,0",17.053,Martin McDonagh,"Colin Farrell, Brendan Gleeson, Kerry Condon, Barry Keoghan, Pat Shortt, David Pearse, Gary Lydon, Jon Kenny","Ambientada en una isla remota frente a la costa oeste de Irlanda en 1923, narra la historia de dos amigos de toda la vida, Pádraic y Colm, quienes se encuentran en un callejón sin salida cuando Colm pone fin a su amistad de un modo abrupto. Un Pádraic atónito, con la única comprensión de su hermana Siobhán y del simple Dominic, se esfuerza por reconstruir la relación, negándose a aceptar las negativas de su amigo de siempre. Cuando Colm le plantea a Pádraic un ultimátum desesperado, los acontecimientos se precipitan y provocan consecuencias traumáticas. (FILMAFFINITY)",https://www.filmaffinity.com/es/film941659.html
Babylon,Babylon,2022,182,"Drama, Comedia",Estados Unidos,"7,0",17.902,Damien Chazelle,"Margot Robbie, Brad Pitt, Diego Calva, Jean Smart, Li Jun Li, Jovan Adepo, Tobey Maguire, Max Minghella","Ambientada en Los Ángeles durante los años 20, cuenta una historia de ambición y excesos desmesurados que recorre la ascensión y caída de múltiples personajes durante una época de desenfrenada decadencia y depravación en los albores de Hollywood.",https://www.filmaffinity.com/es/film771693.html
Un pequeño mundo,Un monde,2021,72,Drama,Bélgica,"7,0",2.456,Laura Wandel,"Maya Vanderbeque, Günter Duret, Karim Leklou, Laura Verlinden, Léna Girard Voss, Thao Maerten, Laurent Capelluto","Nora entra en primaria y poco después descubre el acoso que sufre su hermano mayor, Abel. Nora se debate entre la necesidad de integrarse y su hermano, que le pide que guarde silencio. (FILMAFFINITY)",https://www.filmaffinity.com/es/film330516.html
Una familia de Tokio,Tokyo kazoku (Tokyo Family),2013,146,Drama,Japón,"7,0",3.374,Yôji Yamada,"Isao Hashizume, Kazuko Yoshiyuki, Tomoko Nakajima, Aoi Yû, Yui Natsukawa, Satoshi Tsumabuki, Masahiko Nishimura, Shozo Hayashiya","El viejo Shukichi Hirayama (Hashizume) y su esposa Tomiko (Yoshiyuki) viven en una pequeña isla. Aunque no les gusta la vida urbana, van a Tokio a pasar unos días con sus hijos. El mayor (Masahiko Nishimura) dirige un hospital; la mediana (Tomoko Nakajima) es dueña de un salón de belleza, y el pequeño (Satoshi Tsumabuki) trabaja en el teatro. Remake de ""Cuentos de Tokio"" de Yasujiro Ozu. (FILMAFFINITY)",https://www.filmaffinity.com/es/film575085.html
Sin amor (Loveless),Nelyubov,2017,128,Drama,Rusia,"7,0",5.688,Andrey Zvyagintsev,"Maryana Spivak, Aleksey Rozin, Matvey Novikov, Marina Vasilyeva, Andris Keishs, Alexey Fateev","Una pareja que atraviesa un divorcio debe aunar fuerzas para encontrar a su hijo, desaparecido tras una de sus peleas. (FILMAFFINITY)",https://www.filmaffinity.com/es/film665222.html
Una cuestión de tiempo,About Time,2013,123,"Romance, Comedia, Fantástico",Reino Unido,"7,0",39.872,Richard Curtis,"Domhnall Gleeson, Rachel McAdams, Bill Nighy, Lydia Wilson, Lindsay Duncan, Richard Cordery, Joshua McGuire, Tom Hollander","Tim Lake (Domhnall Gleeson) es un joven de 21 años que descubre que puede viajar en el tiempo. Su padre (Bill Nighy) le cuenta que todos los hombres de la familia han tenido desde siempre ese don, el de regresar en el tiempo a un momento determinado, una y otra vez, hasta conseguir hacer ""lo correcto"". Así pues, Tim decide volver al pasado para intentar conquistar a Mary (Rachel McAdams), la chica de sus sueños. (FILMAFFINITY)",https://www.filmaffinity.com/es/film784063.html
Capitán Phillips,Captain Phillips,2013,135,"Drama, Thriller",Estados Unidos,"7,0",46.150,Paul Greengrass,"Tom Hanks, Barkhad Abdi, Mahat M. Ali, Barkhad Abdirahman, Faysal Ahmed, Michael Chernus, Catherine Keener, David Warshofsky","Año 2009, en el cuerno de África. En aguas internacionales a 145 millas de la costa de Somalia, el buque carguero “Maersk Alabama”, al mando del capitán de la marina mercante estadounidense Richard Phillips (Tom Hanks), fue abordado y retenido por piratas somalíes, siendo el primer barco norteamericano secuestrado en los últimos doscientos años. (FILMAFFINITY)",https://www.filmaffinity.com/es/film179609.html
Pájaros de verano,Pájaros de verano,2018,125,Drama,Colombia,"7,0",3.412,"Ciro Guerra, Cristina Gallego","Carmiña Martínez, José Acosta, Natalia Reyes, Jhon Narváez, Greider Meza, José Vicente Cote, Juan Bautista Martínez","Basada en una historia real que explica el origen del narcotráfico en Colombia, la película se sitúa en los años 70 cuando la juventud norteamericana abraza la cultura hippie y con ella a la marihuana. Esto provoca que los agricultores de la zona se conviertan en “empresarios” a un ritmo veloz. En el desierto de Guajira, una familia indígena Wayuu se ve obligada a asumir un papel de liderazgo en esta nueva empresa. La riqueza y el poder se combinan con una guerra fratricida que pondrá en grave peligro a su familia, a sus vidas y a sus tradiciones ancestrales.",https://www.filmaffinity.com/es/film354096.html
Nuestra hermana pequeña,Umimachi Diary (Kamakura Diary),2015,128,Drama,Japón,"7,0",3.711,Hirokazu Koreeda,"Haruka Ayase, Masami Nagasawa, Suzu Hirose, Kaho, Ryôhei Suzuki, Ryo Kase, Lily Franky, Shin'ichi Tsutsumi","Sachi, Yoshino y Chika son tres hermanas que viven en Kamakura (Japón), en la casa de su abuela. Un día reciben la noticia de la muerte de su padre, que las abandonó cuando eran pequeñas. En el funeral conocen a la hija que su padre tuvo trece años antes y pronto las cuatro hermanas deciden vivir juntas. (FILMAFFINITY)",https://www.filmaffinity.com/es/film380300.html
Togo,Togo,2019,113,"Aventuras, Drama",Estados Unidos,"7,0",5.331,Ericson Core,"Willem Dafoe, Julianne Nicholson, Christopher Heyerdahl, Richard Dormer, Adrien Dorval, Madeline Wickins, Michael Greyeyes, Nive Nielsen","Cuenta la historia de Togo, un perro de trineos que ganó la carrera más importante de esta disciplina en 1925 pese a haber sido considerado incapaz de terminarla siquiera debido a su pequeño tamaño. (FILMAFFINITY)",https://www.filmaffinity.com/es/film230922.html
Carol,Carol,2015,118,"Romance, Drama",Reino Unido,"7,0",22.056,Todd Haynes,"Cate Blanchett, Rooney Mara, Sarah Paulson, Kyle Chandler, Jake Lacy, Cory Michael Smith, Carrie Brownstein, John Magaro","Nueva York, años 50. Therese Belivet (Rooney Mara), una joven dependienta de una tienda de Manhattan que sueña con una vida mejor, conoce un día a Carol Aird (Cate Blanchett), una mujer elegante y sofisticada que se encuentra atrapada en un matrimonio infeliz. Entre ellas surge una atracción inmediata, cada vez más intensa y profunda, que cambiará sus vidas para siempre. (FILMAFFINITY)",https://www.filmaffinity.com/es/film584711.html
"Papicha, sueños de libertad",Papicha,2019,108,Drama,Argelia,"7,0",2.024,Mounia Meddour,"Marwan Zeghbib, Lyna Khoudri, Shirine Boutella, Amira Hilda Douaouda, Yasin Houicha, Zahra Manel Doumandji, Aida Ghechoud, Nadia Kaci","Argelia, años 90. Nedjma, de 18 años, estudiante alojada en la ciudad universitaria de Argel, sueña con convertirse en estilista y se niega a que los trágicos sucesos de la guerra civil argelina le impidan llevar una vida normal y salir por la noche con su amiga Wassila. Al caer la noche, se escurre entre las redes del alambrado de la ciudad con sus mejores amigas para acudir a la discoteca donde vende sus creaciones a las ‘papichas’, las jóvenes argelinas. La situación política y social del país no deja de empeorar. Nedjma se niega a aceptar las prohibiciones de los radicales y decide luchar por su libertad e independencia organizando un desfile de moda. (FILMAFFINITY)",https://www.filmaffinity.com/es/film251106.html
"Psiconautas, los niños olvidados","Psiconautas, los niños olvidados",2015,76,"Animación, Fantástico, Drama",España,"7,0",2.260,"Alberto Vázquez, Pedro Rivero",,"Birdboy y Dinki son dos amigos que luchan por no enfrentarse a la realidad en la que viven. Como exploradores que son, albergan la esperanza de encontrar un lugar mejor en el que vivir, pues la isla donde viven ya no es lo que era debido a un accidente industrial, y el aire que se respira es asfixiante... Adaptación cinematográfica animada de la novela gráfica homónima de Alberto Vázquez. (FILMAFFINITY)",https://www.filmaffinity.com/es/film765355.html
RRR,RRR,2022,185,"Acción, Drama",India,"7,0",5.629,S.S. Rajamouli,"Ram Charan, N.T. Rama Rao Jr., Alia Bhatt, Ajay Devgan, Prakash Raj, Shriya Saran, Posani Krishna Murali, Nitin Sathya","India, años 20 del siglo XX. Tras el secuestro de una niña perteneciente a una tribu marginada, Bheem viajará a Delhi para su rescate. En su travesía se cruzará con Rama Raju, un oficial del Raj que tiene por misión perseguirlo para meterlo a la cárcel. (FILMAFFINITY)",https://www.filmaffinity.com/es/film492409.html
Modelo 77,Modelo 77,2022,125,"Drama, Thriller",España,"7,0",15.537,Alberto Rodríguez,"Miguel Herrán, Javier Gutiérrez, Jesús Carroza, Fernando Tejero, Xavi Sáez, Catalina Sopelana, Polo Camino, Alfonso Lara","Cárcel Modelo. Barcelona, 1977. Manuel (Miguel Herrán), un joven contable, encarcelado y pendiente de juicio por cometer un desfalco, se enfrenta a una posible pena de entre 10 y 20 años, un castigo desproporcionado para la cuantía de su delito. Pronto, junto a su compañero de celda, Pino (Javier Gutiérrez), se une a un grupo de presos comunes que se está organizando para exigir una amnistía. Se inicia una guerra por la libertad que hará tambalearse al sistema penitenciario español. Si las cosas están cambiando fuera, dentro también tendrán que hacerlo.",https://www.filmaffinity.com/es/film677826.html
Mujercitas,Little Women,2019,135,"Drama, Romance",Estados Unidos,"7,0",16.718,Greta Gerwig,"Saoirse Ronan, Timothée Chalamet, Emma Watson, Florence Pugh, Eliza Scanlen, Laura Dern, Meryl Streep, James Norton","Amy, Jo, Beth y Meg son cuatro hermanas en plena adolescencia, que viven con su madre en una Norteamérica que sufre lejanamente su Guerra Civil. Con sus variadas vocaciones artísticas y anhelos juveniles, descubrirán el amor y la importancia de los lazos familiares.",https://www.filmaffinity.com/es/film792587.html
Wind River,Wind River,2017,110,"Thriller, Intriga",Estados Unidos,"7,0",21.912,Taylor Sheridan,"Jeremy Renner, Elizabeth Olsen, Julia Jones, Graham Greene, Jon Bernthal, Matthew Del Negro, Kelsey Chow, Gil Birmingham",Una joven agente del FBI se alía con un veterano rastreador local para investigar el asesinato de una joven ocurrido en una reserva de nativos americanos... (FILMAFFINITY),https://www.filmaffinity.com/es/film834864.html
Truman,Truman,2015,108,"Drama, Comedia",España,"7,0",29.135,Cesc Gay,"Javier Cámara, Ricardo Darín, Dolores Fonzi, Àlex Brendemühl, Javier Gutiérrez, Eduard Fernández, Elvira Mínguez, Silvia Abascal","Julián y Tomás, dos amigos de la infancia que han llegado a la madurez, se reúnen después de muchos años y pasan juntos unos días inolvidables, sobre todo porque éste será su último encuentro, su despedida. (FILMAFFINITY)",https://www.filmaffinity.com/es/film193232.html
We Are the Best!,Vi är bäst!,2013,105,"Drama, Comedia",Suecia,"6,9",1.425,Lukas Moodysson,"Mira Barkhammar, Mira Grosin, Liv LeMoyne, Anna Rydgren, David Dencik, Johan Liljemark, Mattias Wiberg",Tres chicas de entre 12 y 13 años de edad deciden formar un grupo de punk en el Estocolmo de 1982. (FILMAFFINITY),https://www.filmaffinity.com/es/film530247.html
Help (TV),Help,2021,96,Drama,Reino Unido,"6,9",1.485,Marc Munden,"Jodie Comer, Stephen Graham, Cathy Tyson, Angela Griffin, Charles De'Ath, Alicia Eyo, Tina Louise Owens, Mike Noble","Sarah parece haber encontrado su vocación trabajando en un hogar de ancianos de Liverpool, donde tiene un talento especial para conectarse con los residentes. Luego, en marzo de 2020, llega la pandemia de Coronavirus.",https://www.filmaffinity.com/es/film939307.html
Gett: El divorcio de Viviane Amsalem,"Gett, the Trial of Viviane Amsalem",2014,115,Drama,Israel,"6,9",2.007,"Ronit Elkabetz, Shlomi Elkabetz","Ronit Elkabetz, Simon Abkarian, Menashe Noy, Gabi Amrani, Dalia Beger, Roberto Pollack, Shmil Ben Ari, Abraham Celektar","Viviane Amsalem, separada desde hace años de Elisha, su marido, quiere conseguir el divorcio para no convertirse en una marginada social. En Israel no existe aún el matrimonio civil; según las leyes religiosas,  sólo el marido puede conceder el divorcio. Sin embargo, Elisha, se niega a hacerlo. Viviane tendrá que luchar ante el Tribunal Rabínico para lograr lo que ella considera un derecho. Así se verá inmersa en un proceso de varios años en el que la tragedia competirá con lo absurdo y absolutamente todo se pondrá en tela de juicio. (FILMAFFINITY)",https://www.filmaffinity.com/es/film364656.html
Quiero comerme tu páncreas,Kimi no suizô wo tabetai,2018,108,"Animación, Drama, Romance",Japón,"6,9",2.549,Shin'ichirô Ushijima,,"Un día, un solitario estudiante de secundaria encuentra un libro de bolsillo en el hospital. Su título es ""Conviviendo con la Muerte"". Resulta ser un diario de una compañera de clase, Sakura Yamauchi, en el cual escribe que, debido a su enfermedad pancreática, le quedan sólo unos cuantos meses de vida. Esto hace que surja una amistad entre ellos muy especial, desvelando la difícil circunstancia por la que atraviesa Sakura no sólo en relación a su enfermedad, sino también a otros factores que convierten su día a día en una cruel pesadilla. (FILMAFFINITY)",https://www.filmaffinity.com/es/film166324.html
The Batman,The Batman,2022,175,"Thriller, Intriga, Acción",Estados Unidos,"6,9",33.764,Matt Reeves,"Robert Pattinson, Zöe Kravitz, Jeffrey Wright, John Turturro, Paul Dano, Colin Farrell, Andy Serkis, Peter Sarsgaard","Después de dos años acechando por las calles de la ciudad como Batman (Robert Pattinson), e infundiendo miedo en las mentes perversas de los criminales, Bruce Wayne está sumido en las profundidades de las sombras de Gotham City. Este vigilante solitario cuenta con pocos aliados de confianza y eso le ha llevado a convertirse en la única encarnación de la venganza entre sus conciudadanos. Cuando un asesino apunta a la élite de Gotham con una serie de maquinaciones sádicas, un rastro de pistas crípticas lleva a Batman a realizar una investigación en el inframundo. (FILMAFFINITY)",https://www.filmaffinity.com/es/film911057.html
Tarde para la ira,Tarde para la ira,2016,89,Thriller,España,"6,9",36.080,Raúl Arévalo,"Antonio de la Torre, Luis Callejo, Ruth Díaz, Manolo Solo, Alicia Rubio, Raúl Jiménez, Font García, Pilar Gómez","Madrid, agosto de 2007. Curro entra en prisión tras participar en el atraco a una joyería. Era el conductor, y el único detenido por el robo. Ocho años después sale de la cárcel con ganas de emprender una nueva vida junto a su novia Ana y su hijo, pero se encontrará con una situación inesperada y a un desconocido, José.",https://www.filmaffinity.com/es/film509296.html
Mass,Mass,2021,110,Drama,Estados Unidos,"6,9",2.931,Fran Kranz,"Jason Isaacs, Martha Plimpton, Ann Dowd, Reed Birney, Breeda Wool, Michelle N. Carter, Kagen Albright","Años después de que el hijo de Richard (Reed Birney) y Linda (Ann Dowd) causase una enorme tragedia, Jay (Jason Isaacs), y Gail (Martha Plimpton) están por fin dispuestos a hablar en un intento por tratar de seguir adelante con sus vidas. (FILMAFFINITY)",https://www.filmaffinity.com/es/film507896.html
The Rider,The Rider,2017,104,"Drama, Western",Estados Unidos,"6,9",6.263,Chloé Zhao,"Brady Jandreau, Tim Jandreau, Lilly Jandreau, Terri Dawn Pourier, Cat Clifford, Lane Scott, Tanner Langdeau, James Calhoon, Derrick Janis","Brady, joven estrella del rodeo y talentoso entrenador de caballos, sufre un accidente que le incapacita para volver a montar. Cuando vuelve a casa se da cuenta de que lo único que sabe y quiere hacer es montar a caballo y participar en rodeos, lo que le frustra vitalmente. En un intento por retomar el control de su vida, Brady emprende un viaje en busca de una nueva identidad y del significado de lo que es ser un hombre en el corazón de América. (FILMAFFINITY)",https://www.filmaffinity.com/es/film186544.html
Perfectos desconocidos,Perfetti sconosciuti,2016,97,"Comedia, Drama",Italia,"6,9",3.733,Paolo Genovese,"Giuseppe Battiston, Anna Foglietta, Valerio Mastandrea, Alba Rohrwacher, Marco Giallini, Edoardo Leo, Kasia Smutniak, Benedetta Porcaroli","Siete amigos que lo son desde hace años (tres parejas y un soltero) se reencuentran en una cena en la que deciden jugar a un juego extraño y arriesgado: ponen sus smartphone sobre la mesa y al grito de “no tenemos nada que ocultar”, deciden compartir los mensajes y las llamadas que cada uno de ellos reciba durante la noche, en una especie de ruleta rusa a golpe de SMS y tonos de llamada.",https://www.filmaffinity.com/es/film426970.html
Hierve,Boiling Point,2021,92,"Drama, Thriller",Reino Unido,"6,9",8.839,Philip Barantini,"Stephen Graham, Jason Flemyng, Ray Panthaki, Hannah Walters, Izuka Hoyle, Vinette Robinson, Áine Rose Daly, Lourdes Faberes","En la noche más concurrida del año en uno de los restaurantes de moda en Londres, el carismático jefe de cocina Andy Jones trata de no derrumbarse ante una crisis personal y profesional que podría destruir todo aquello por lo que ha trabajado. La inesperada visita de un inspector de sanidad y seguridad alimentaria aumenta la presión sobre el personal mientras no dejan de llegar más y más clientes. Andy abronca y engatusa a su equipo indistintamente, haciendo todo lo posible para disipar las tensiones entre la gerencia y los trabajadores, mientras atiende a las ridículas demandas de sus clientes. (FILMAFFINITY)",https://www.filmaffinity.com/es/film276907.html
Cómo entrenar a tu dragón 2,How to Train Your Dragon 2,2014,102,"Animación, Fantástico, Aventuras",Estados Unidos,"6,9",25.148,Dean DeBlois,"Jay Baruchel, Gerard Butler, America Ferrera, Craig Ferguson, Jonah Hill, Christopher Mintz-Plasse, Kristen Wiig","Han pasado cinco años desde que Hipo empezó a entrenar a su dragón, rompiendo la tradición vikinga de cazarlos. Astrid y el resto de la pandilla han conseguido difundir en la isla un nuevo deporte: las carreras de dragones. Mientras realizan una carrera, atraviesan los cielos llegando a territorios inhóspitos, donde nadie antes ha estado. Durante un viaje descubren una cueva cubierta de hielo que resulta ser el refugio de cientos de dragones salvajes, a los que cuida un misterioso guardián. Hipo y los suyos se unen al guardián para proteger a los dragones de las fuerzas malignas que quieren acabar con ellos. (FILMAFFINITY)",https://www.filmaffinity.com/es/film468158.html
Logan,Logan,2017,135,"Thriller, Acción, Drama, Ciencia ficción",Estados Unidos,"6,9",36.394,James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook, Stephen Merchant, Elizabeth Rodriguez, Richard E. Grant, Doris Morgado","Sin sus poderes, por primera vez, Wolverine es verdaderamente vulnerable. Después de una vida de dolor y angustia, sin rumbo y perdido en el mundo donde los X-Men son leyenda, su mentor Charles Xavier lo convence para asumir una última misión: proteger a una joven que será la única esperanza para la raza mutante... Tercera y última película protagonizada por Hugh Jackman en el papel de Lobezno. (FILMAFFINITY)",https://www.filmaffinity.com/es/film176022.html
Rogue One: Una historia de Star Wars,Rogue One: A Star Wars Story,2016,133,"Ciencia ficción, Acción, Bélico",Estados Unidos,"6,9",46.985,Gareth Edwards,"Felicity Jones, Diego Luna, Ben Mendelsohn, Donnie Yen, Riz Ahmed, Jiang Wen, Mads Mikkelsen, Alan Tudyk","El Imperio Galáctico ha terminado de construir el arma más poderosa de todas, la Estrella de la muerte, pero un grupo de rebeldes decide realizar una misión de muy alto riesgo: robar los planos de dicha estación antes de que entre en operaciones, mientras se enfrentan también al poderoso Lord Sith conocido como Darth Vader, discípulo del despiadado Emperador Palpatine. Historia ambientada entre los episodios III y IV de Star Wars. (FILMAFFINITY)",https://www.filmaffinity.com/es/film769224.html
"Ruben Brandt, coleccionista","Ruben Brandt, a gyujto",2018,96,"Animación, Thriller",Hungría,"6,9",1.162,Milorad Krstic,,"El psicoterapeuta Ruben Brandt sufre pesadillas violentas inspiradas en 13 obras de arte famosas, como ""Retrato del cartero Joseph Roulin"", de Van Gogh, la ""Venus of Urbino, de Tiziano, o ""Mujer con libro"", de Picasso. Cuatro de sus pacientes, que son ladrones expertos, se ofrecen para robar todas esas obras maestras, ya que creen que una vez que las posea desaparecerán las pesadillas. Brandt acepta el plan y ellos se cuelan en museos y galerías de arte de todo el mundo. Brandt se convierte en ""el colecionista”, uno de los delincuentes más buscados. Gangsters y cazarrecompensas le buscan para ganar los 100 millones de dólares que se pagan por su captura. Al mismo tiempo, un grupo de compañías de seguros contrata a Mike Kowalski, un detective privado y experto en robos de arte, para resolver el caso. (FILMAFFINITY)",https://www.filmaffinity.com/es/film735748.html
En mi propia piel,Sulla mia pelle,2018,100,Drama,Italia,"6,9",1.399,Alessio Cremonini,"Alessandro Borghi, Max Tortora, Milvia Marigliano, Jasmine Trinca, Walter Nestola, Mauro Conte, Paolo D. Bovani, Andrea Lattanzi","Stefano Cucchi, detenido en Roma por un delito de drogas, sufre una semana horrible de encarcelamiento que afecta a su familia para siempre. (FILMAFFINITY)",https://www.filmaffinity.com/es/film871019.html
Sauvage,Sauvage,2018,97,Drama,Francia,"6,9",1.447,Camille Vidal-Naquet,"Félix Maritaud, Eric Bernard, Nicolas Dibla, Philippe Ohrel, Marie Seux, Lucas Bléger, Camille Müller, Jean-Pierre Baste","Léo (Félix Maritaud) tiene 22 años y vende su cuerpo por un poco de dinero. Los hombres van y vienen, y él se encuentra a sí mismo buscando el afecto en cualquier lugar donde pueda obtenerlo. No sabe qué le deparará el futuro. (FILMAFFINITY)",https://www.filmaffinity.com/es/film558066.html
Adam,Adam,2019,98,Drama,Marruecos,"6,9",1.599,Maryam Touzani,"Lubna Azabal, Nisrin Erradi, Douae Belkhaouda, Aziz Hattab, Hasnaa Tamtaoui","Abla regenta una humilde pastelería en su propia vivienda de Casablanca, donde vive sola con Warda, su hija de 8 años. Su rutina, dictada por el trabajo y las labores domésticas, se ve un día interrumpida cuando alguien llama a su puerta. Se trata de Samia, una joven embarazada que busca empleo y techo. A la pequeña le atrae la recién llegada desde el primer momento, pero la madre se opone inicialmente a acoger a la extraña en su casa. Poco a poco, sin embargo, la determinación de Abla va cediendo y la llegada de Samia les abre a las tres la posibilidad de una nueva vida. (FILMAFFINITY)",https://www.filmaffinity.com/es/film770308.html
Respira,Respire,2014,90,Drama,Francia,"6,9",1.644,Mélanie Laurent,"Joséphine Japy, Lou de Laâge, Isabelle Carré, Claire Keim, Radivoje Bukvic, Roxane Duran, Thomas Solivéres, Camille Claris","Charlie tiene 17 años. Está en la edad de dedicar su vida a salir con sus amigos: emociones, convicciones y pasiones. Sarah es la chica nueva. Hermosa, valiente, con historia y mucha personalidad. Una estrella desde el principio. Nada podía anticipar que sus caminos se cruzarían, pero así ocurre. (FILMAFFINITY)",https://www.filmaffinity.com/es/film124732.html
Queridos camaradas,Dorogie tovarishchi! (Dear Comrades!),2020,121,Drama,Rusia,"6,9",1.746,Andrei Konchalovsky,"Yuliya Vysotskaya, Vladislav Komarov, Alexander Maskelyne, Andrei Gusev, Yulia Burova, Sergei Erlish","Novocherkask, Unión Soviética, 1962. Lyudmila es miembro del partido comunista local. Ella defiende los ideales del régimen comunista y desprecia todo tipo de disidencia. Durante una huelga laboral en una fábrica de motores, ve cómo el ejército mandado por el Gobierno dispara a los protestantes y comete una masacre. Ese suceso cambiará su visión de las cosas. Con la ciudad destruida y agitada por las revueltas, hay mucha gente herida y desaparecida. Una de las desaparecidas es la hija de Lyudmila, lo que la obligará a buscarla entre el caos. (FILMAFFINITY)",https://www.filmaffinity.com/es/film391779.html
Una joven prometedora,Promising Young Woman,2020,113,"Thriller, Drama",Reino Unido,"6,9",18.901,Emerald Fennell,"Carey Mulligan, Bo Burnham, Alison Brie, Connie Britton, Jennifer Coolidge, Adam Brody, Laverne Cox, Clancy Brown","Cassie tenía un brillante futuro por delante hasta que un desagradable incidente truncó su carrera. Ahora nada en su vida es lo que parece: es inteligente, audaz y vive una doble vida de noche. Cassie tiene la oportunidad de enmendar todo lo que no salió bien en su pasado... vengándose de los culpables. (FILMAFFINITY)",https://www.filmaffinity.com/es/film552637.html
Gravity,Gravity,2013,90,"Thriller, Drama",Estados Unidos,"6,9",89.911,Alfonso Cuarón,"Sandra Bullock, George Clooney, Ed Harris","Mientras reparan un satélite fuera de su nave, dos astronautas sufren un grave accidente y quedan flotando en el espacio. Son la doctora Ryan Stone, una brillante ingeniera que realiza su primera misión espacial, y el veterano astronauta Matt Kowalsky. La misión exterior parecía rutinaria, pero una lluvia de basura espacial les alcanza y se produce el desastre: el satélite y parte de la nave quedan destrozados, dejando a Ryan y Matt completamente solos, momento a partir del cual intentarán por todos los medios buscar una solución para volver a la Tierra. (FILMAFFINITY)",https://www.filmaffinity.com/es/film883807.html
El malvado zorro feroz,Le Grand Méchant Renard et autres contes,2017,79,"Animación, Comedia",Francia,"6,9",1.654,"Benjamin Renner, Patrick Imbert",,"Aquellos que piensan que la campiña es un lugar tranquilo y pacífico están equivocados, allí se encuentran animales particularmente agitados, un Zorro que piensa que es un pollo, un Conejo que hace la cigüeña y un Pato que quiere reemplazar a Santa Claus. Si deseas tomarte unas vacaciones, pasa de largo y sigue tu camino… (FILMAFFINITY)",https://www.filmaffinity.com/es/film714535.html
